smiles,log KOA,
Cc1ccccc1Br,4.56,
Cc1cccc(Br)c1,4.03,
Cc1ccc(Br)cc1,4.39,
Brc1ccccc1Br,5.2,
Brc1cccc(Br)c1,5.1,
Brc1ccc(Br)cc1,5.21,
Brc1cc(Br)cc(Br)c1,6.1,
Cc1c(Br)c(Br)c(C)c(Br)c1Br,8.85,
Brc1cc(Br)c(Br)c(Br)c1Br,8.3,
Cc1c(Br)c(Br)c(Br)c(Br)c1Br,9.61,
CCc1c(Br)c(Br)c(Br)c(Br)c1Br,9.26,
Brc1c(Br)c(Br)c(Br)c(Br)c1Br,9.53,
Ic1ccccc1,4.55,
Fc1cccc(Cl)c1,3.4,
Fc1c(Cl)c(F)c(Cl)c(F)c1Cl,4.71,
Fc1cccc(Br)c1,3.8,
Fc1ccc(Br)cc1,4.11,
Clc1ccc(Br)cc1,4.81,
Fc1ccc(I)cc1,4.63,
Clc1ccc(I)cc1,5.34,
Brc1ccc(I)cc1,5.87,
Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)Cl)cc1,9.87,
Clc1ccc(C(c2ccccc2Cl)C(Cl)Cl)cc1,9.57,
Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,9.88,
Clc1ccc(C(c2ccccc2Cl)C(Cl)(Cl)Cl)cc1,9.74,
ClC(Cl)=C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,9.24,
ClC(Cl)=C(c1ccc(Cl)cc1)c1ccccc1Cl,9.26,
Fc1c(F)c(F)c(-c2c(F)c(F)c(F)c(F)c2F)c(F)c1F,4.97,
Clc1ccccc1-c1ccccc1,6.43,
Clc1cccc(-c2ccccc2)c1,6.78,
Clc1ccc(-c2ccccc2)cc1,6.77,
Clc1ccccc1-c1ccccc1Cl,6.86,
Clc1cccc(-c2ccccc2)c1Cl,7.35,
Clc1cccc(-c2ccccc2Cl)c1,7.31,
Clc1ccc(-c2ccccc2)c(Cl)c1,7.15,
Clc1ccc(-c2ccccc2Cl)cc1,7.37,
Clc1ccc(Cl)c(-c2ccccc2)c1,7.16,
Clc1cccc(Cl)c1-c1ccccc1,7.18,
Clc1cccc(-c2cccc(Cl)c2)c1,7.66,
Clc1ccc(-c2ccccc2)cc1Cl,7.57,
Clc1ccc(-c2cccc(Cl)c2)cc1,7.47,
Clc1cc(Cl)cc(-c2ccccc2)c1,7.52,
Clc1ccc(-c2ccc(Cl)cc2)cc1,7.63,
Clc1ccc(-c2ccccc2Cl)cc1Cl,8.2,
Clc1cc(Cl)cc(-c2ccccc2Cl)c1,8.03,
Clc1ccccc1-c1cccc(Cl)c1Cl,7.76,
Clc1ccc(-c2ccccc2Cl)c(Cl)c1,7.51,
Clc1ccc(Cl)c(-c2ccccc2Cl)c1,7.56,
Clc1ccccc1-c1c(Cl)cccc1Cl,7.54,
Clc1cccc(-c2cccc(Cl)c2Cl)c1,8.24,
Clc1cccc(-c2ccc(Cl)cc2Cl)c1,8.02,
Clc1cccc(-c2cc(Cl)ccc2Cl)c1,7.99,
Clc1ccc(-c2cccc(Cl)c2Cl)cc1,8.33,
Clc1ccc(Cl)c(-c2ccccc2)c1Cl,7.94,
Clc1cc(Cl)c(-c2ccccc2)cc1Cl,7.96,
Clc1ccc(-c2cc(Cl)ccc2Cl)cc1,7.92,
Clc1cc(Cl)c(-c2ccccc2)c(Cl)c1,7.56,
Clc1ccc(-c2c(Cl)cccc2Cl)cc1,7.74,
Clc1ccc(-c2ccc(Cl)cc2Cl)cc1,7.92,
Clc1cccc(-c2cc(Cl)cc(Cl)c2)c1,8.21,
Clc1ccc(-c2ccc(Cl)c(Cl)c2)cc1,8.64,
Clc1ccccc1-c1ccc(Cl)c(Cl)c1Cl,8.58,
Clc1ccc(-c2cccc(Cl)c2Cl)c(Cl)c1,8.64,
Clc1ccc(Cl)c(-c2cccc(Cl)c2Cl)c1,8.36,
Clc1ccccc1-c1c(Cl)ccc(Cl)c1Cl,6.82,
Clc1ccccc1-c1c(Cl)ccc(Cl)c1Cl,8.32,
Clc1ccc(-c2ccc(Cl)cc2Cl)c(Cl)c1,8.31,
Clc1cc(Cl)c(-c2ccccc2Cl)cc1Cl,8.25,
Clc1ccc(-c2cc(Cl)ccc2Cl)c(Cl)c1,8.3,
Clc1ccc(-c2c(Cl)cccc2Cl)c(Cl)c1,7.95,
Clc1ccc(Cl)c(-c2cc(Cl)ccc2Cl)c1,8.25,
Clc1ccc(Cl)c(-c2c(Cl)cccc2Cl)c1,7.93,
Clc1cccc(Cl)c1-c1c(Cl)cccc1Cl,7.76,
Clc1ccc(Cl)c(-c2c(Cl)cccc2Cl)c1,8.45,
Clc1ccc(-c2ccc(Cl)c(Cl)c2Cl)cc1,9.13,
Clc1ccc(-c2cc(Cl)cc(Cl)c2Cl)cc1,8.79,
Clc1ccc(-c2c(Cl)ccc(Cl)c2Cl)cc1,8.38,
Clc1ccc(-c2ccc(Cl)c(Cl)c2)c(Cl)c1,9.02,
Clc1cccc(-c2cc(Cl)c(Cl)cc2Cl)c1,9.11,
Clc1cccc(-c2c(Cl)cc(Cl)cc2Cl)c1,8.38,
Clc1ccc(Cl)c(-c2ccc(Cl)c(Cl)c2)c1,8.95,
Clc1ccc(-c2c(Cl)cccc2Cl)cc1Cl,8.61,
Clc1cc(Cl)c(Cl)c(-c2ccccc2)c1Cl,8.18,
Clc1ccc(-c2cc(Cl)c(Cl)cc2Cl)cc1,8.86,
Clc1ccc(-c2c(Cl)cc(Cl)cc2Cl)cc1,8.09,
Clc1ccc(-c2ccc(Cl)c(Cl)c2)cc1Cl,9.29,
Clc1cc(Cl)cc(-c2cc(Cl)cc(Cl)c2)c1,7.7,
Clc1ccc(-c2cc(Cl)c(Cl)c(Cl)c2)cc1,9.67,
Clc1cccc(-c2cccc(Cl)c2Cl)c1Cl,8.86,
Clc1ccccc1-c1cc(Cl)c(Cl)c(Cl)c1,8.87,
Clc1cc(-c2ccccc2)c(Cl)c(Cl)c1Cl,8.81,
Clc1cc(Cl)c(Cl)c(-c2cccc(Cl)c2Cl)c1,9.13,
Clc1cccc(-c2c(Cl)ccc(Cl)c2Cl)c1Cl,8.8,
Clc1ccc(-c2ccc(Cl)c(Cl)c2Cl)c(Cl)c1,9.52,
Clc1ccc(-c2c(Cl)ccc(Cl)c2Cl)c(Cl)c1,8.94,
Clc1cc(Cl)c(-c2cccc(Cl)c2Cl)cc1Cl,9.18,
Clc1ccc(-c2cc(Cl)c(Cl)cc2Cl)c(Cl)c1,9.24,
Clc1ccc(Cl)c(-c2cc(Cl)c(Cl)cc2Cl)c1,9.04,
Clc1cc(Cl)c(-c2c(Cl)cccc2Cl)c(Cl)c1,8.16,
Clc1ccc(-c2cc(Cl)c(Cl)c(Cl)c2)c(Cl)c1,9.71,
Clc1ccc(-c2cc(Cl)c(Cl)cc2Cl)cc1Cl,9.47,
Clc1ccc(-c2ccc(Cl)c(Cl)c2Cl)cc1Cl,9.53,
Clc1ccc(-c2c(Cl)ccc(Cl)c2Cl)cc1Cl,9.06,
Clc1ccc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)cc1,10.04,
Clc1c(Cl)c(Cl)c(-c2ccccc2)c(Cl)c1Cl,9.06,
Clc1ccc(Cl)c(-c2ccc(Cl)c(Cl)c2Cl)c1,9.21,
Clc1ccc(Cl)c(-c2c(Cl)ccc(Cl)c2Cl)c1,8.8,
Clc1ccc(Cl)c(-c2c(Cl)cccc2Cl)c1Cl,8.53,
Clc1ccc(-c2cc(Cl)c(Cl)c(Cl)c2)cc1Cl,10.31,
Clc1cc(Cl)c(-c2ccc(Cl)c(Cl)c2)c(Cl)c1,9.03,
Clc1ccc(-c2ccc(Cl)c(Cl)c2Cl)c(Cl)c1Cl,10.36,
Clc1cc(Cl)c(Cl)c(-c2ccc(Cl)c(Cl)c2Cl)c1,9.3,
Clc1cccc(-c2c(Cl)cc(Cl)c(Cl)c2Cl)c1Cl,9.49,
Clc1ccc(-c2c(Cl)ccc(Cl)c2Cl)c(Cl)c1Cl,9.8,
Clc1cccc(-c2c(Cl)c(Cl)cc(Cl)c2Cl)c1Cl,9.44,
Clc1cc(Cl)c(Cl)c(-c2c(Cl)ccc(Cl)c2Cl)c1,9.42,
Clc1ccc(Cl)c(-c2c(Cl)ccc(Cl)c2Cl)c1Cl,9.27,
Clc1cc(Cl)c(-c2c(Cl)ccc(Cl)c2Cl)cc1Cl,9.47,
Clc1cc(Cl)c(-c2ccc(Cl)c(Cl)c2Cl)cc1Cl,9.81,
Clc1ccc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1,10.1,
Clc1ccc(Cl)c(-c2c(Cl)cc(Cl)c(Cl)c2Cl)c1,9.34,
Clc1ccc(Cl)c(-c2cc(Cl)c(Cl)c(Cl)c2Cl)c1,9.79,
Clc1cc(Cl)c(Cl)c(-c2cc(Cl)c(Cl)cc2Cl)c1,9.56,
Clc1ccc(-c2c(Cl)c(Cl)cc(Cl)c2Cl)c(Cl)c1,9.39,
Clc1cc(Cl)c(-c2cc(Cl)c(Cl)cc2Cl)cc1Cl,9.8,
Clc1cc(Cl)c(-c2c(Cl)cc(Cl)cc2Cl)c(Cl)c1,8.99,
Clc1cccc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)c1Cl,10.07,
Clc1ccc(Cl)c(-c2c(Cl)c(Cl)cc(Cl)c2Cl)c1,9.61,
Clc1ccc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)cc1Cl,10.57,
Clc1cc(-c2ccc(Cl)c(Cl)c2Cl)cc(Cl)c1Cl,10.77,
Clc1ccc(-c2c(Cl)cc(Cl)c(Cl)c2Cl)cc1Cl,9.86,
Clc1cc(Cl)cc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)c1,9.91,
Clc1ccc(-c2c(Cl)c(Cl)cc(Cl)c2Cl)cc1Cl,10.32,
Clc1ccc(-c2c(Cl)c(Cl)cc(Cl)c2Cl)cc1Cl,9.89,
Clc1cc(Cl)cc(-c2c(Cl)c(Cl)cc(Cl)c2Cl)c1,10.36,
Clc1ccc(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)cc1,10,
Clc1cc(Cl)c(-c2cc(Cl)c(Cl)c(Cl)c2)cc1Cl,10.47,
